Strain,Stress(Pa)
0.0,0.0
0.0016080402010050252,299095477.3869347
0.0032160804020100503,389296113.24521124
0.004824120603015076,392198541.3581935
0.006432160804020101,394314230.2329315
0.008040201005025126,396064435.7594471
0.009648241206030151,397591095.433766
0.011256281407035176,398962791.85131043
0.012864321608040201,400218890.3714635
0.014472361809045226,401384466.3357107
0.016080402010050253,402476659.1859396
0.017688442211055276,403507798.42958385
0.019296482412060303,404487104.8336553
0.020904522613065326,405421688.29390186
0.022512562814070353,406317168.1504845
0.024120603015075376,407178077.1237156
0.025728643216080403,408008134.5391269
0.02733668341708543,408810437.0970107
0.028944723618090452,409587595.70261794
0.03055276381909548,410341835.90292335
0.032160804020100506,411075073.10484034
0.03376884422110553,411788969.9076514
0.03537688442211055,412484980.48839533
0.036984924623115575,413164385.44389665
0.038592964824120606,413828319.48360616
0.04020100502512563,414477793.68838876
0.04180904522613065,415113713.5843328
0.04341708542713568,415736893.954888
0.045025125628140705,416348071.08313745
0.04663316582914573,416947912.9490112
0.04824120603015075,417537027.7841005
0.04984924623115578,418115971.2962629
0.051457286432160805,418685252.80841047
0.05306532663316583,419245340.50451565
0.05467336683417086,419796665.9365808
0.05628140703517588,420339627.91596895
0.057889447236180905,420874595.8888633
0.05949748743718593,421401912.877056
0.06110552763819096,421921898.05058277
0.06271356783919597,422434848.9870157
0.06432160804020101,422941043.66283226
0.06592964824120603,423440742.2147013
0.06753768844221106,423934188.50236505
0.06914572864321608,424421611.4997699
0.0707537688442211,424903226.53696454
0.07236180904522613,425379236.4118787
0.07396984924623115,425849832.3882672
0.07557788944723619,426315195.09374815
0.07718592964824121,426775495.3298951
0.07879396984924623,427230894.8046855
0.08040201005025126,427681546.7962124
0.08201005025125628,428127596.755382
0.0836180904522613,428569182.8543166
0.08522613065326633,429006436.4863229
0.08683417085427136,429439482.72255445
0.08844221105527639,429868440.729866
0.09005025125628141,430293424.1538163
0.09165829145728643,430714541.4703072
0.09326633165829146,431131896.30894303
0.09487437185929648,431545587.75084037
0.0964824120603015,431955710.6033137
0.09809045226130654,432362355.65359366
0.09969849246231156,432765609.9035026
0.10130653266331659,433165556.7868045
0.10291457286432161,433562276.3707682
0.10452261306532663,433955845.5433227
0.10613065326633166,434346338.18704414
0.10773869346733668,434733825.34108907
0.10934673366834172,435118375.352079
0.11095477386934674,435500054.0148449
0.11256281407035176,435878924.7038511
0.11417085427135679,436255048.4960426
0.11577889447236181,436628484.2857902
0.11738693467336683,436999288.89254624
0.11899497487437186,437367517.1617669
0.1206030150753769,437733222.0596103
0.12221105527638192,438096454.76187235
0.12381909547738694,438457264.7375831
0.12542713567839195,438815699.8276508
0.127035175879397,439171806.3189074
0.12864321608040202,439525629.0138791
0.13025125628140705,439877211.29658175
0.13185929648241207,440226595.1946119
0.1334673366834171,440573821.4377875
0.13507537688442212,440918929.5135684
0.13668341708542714,441261957.7194709
0.13829145728643216,441602943.2126726
0.13989949748743719,441941922.0569899
0.1415075376884422,442278929.26739645
0.14311557788944723,442613998.8522376
0.14472361809045226,442947163.8532849
0.14633165829145728,443278456.3837649
0.1479396984924623,443607907.6644855
0.14954773869346735,443935548.0581745
0.15115577889447238,444261407.10213834
0.1527638190954774,444585513.5393401
0.15437185929648242,444907895.34798807
0.15597989949748745,445228579.7697233
0.15758793969849247,445547593.33648455
0.1591959798994975,445864961.89612657
0.16080402010050251,446180710.63686144
0.16241206030150754,446494864.11058915
0.16402010050251256,446807446.2551767
0.16562814070351758,447118480.41574526
0.1672361809045226,447427989.3650172
0.16884422110552763,447735995.32277375
0.17045226130653265,448042519.9744712
0.1720603015075377,448347584.48905796
0.17366834170854273,448651209.5360355
0.17527638190954775,448953415.30180126
0.17688442211055277,449254221.5053109
0.1784924623115578,449553647.4130928
0.18010050251256282,449851711.85364884
0.18170854271356784,450148433.2312709
0.18331658291457287,450443829.53930193
0.1849246231155779,450737918.37286896
0.18653266331658291,451030716.9411131
0.18814070351758794,451322242.078941
0.18974874371859296,451612510.2583201
0.19135678391959798,451901537.59913945
0.192964824120603,452189339.8796561
0.19457286432160806,452475932.54654634
0.19618090452261308,452761330.72458005
0.1977889447236181,453045549.2259348
0.19939698492462313,453328602.55916667
0.20100502512562815,453610504.9378526
0.20261306532663317,453891270.28891885
0.2042211055276382,454170912.26066977
0.20582914572864322,454449444.2305298
0.20743718592964824,454726879.31251055
0.20904522613065327,455003230.3644161
0.2106532663316583,455278509.9947961
0.2122613065326633,455552730.56965864
0.21386934673366834,455825904.218952
0.21547738693467336,456098042.842826
0.21708542713567838,456369158.1176808
0.21869346733668343,456639261.5020127
0.22030150753768846,456908364.24206555
0.22190954773869348,457176477.3772939
0.2235175879396985,457443611.7456482
0.22512562814070353,457709777.9886863
0.22673366834170855,457974986.5565201
0.22834170854271357,458239247.71260303
0.2299497487437186,458502571.53836465
0.23155778894472362,458764967.9376983
0.23316582914572864,459026446.6413075
0.23477386934673367,459287017.2109167
0.2363819095477387,459546689.04335105
0.2379899497487437,459805471.3744904
0.23959798994974874,460063373.2831025
0.2412060301507538,460320403.69455934
0.2428140703517588,460576571.38444114
0.24442211055276383,460831884.9820328
0.24603015075376886,461086352.9737153
0.24763819095477388,461339983.7062572
0.2492462311557789,461592785.3900093
0.2508542713567839,461844766.10200554
0.252462311557789,462095933.7889743
0.254070351758794,462346296.2702626
0.255678391959799,462595861.2406765
0.25728643216080405,462844636.27324045
0.25889447236180907,463092628.8218788
0.2605025125628141,463339846.2240217
0.2621105527638191,463586295.70313793
0.26371859296482414,463831984.37119806
